101 => 1-2-3-4-5-6-7-8-9-10-11-12-14-19-20 | 5:3 | 6:53 | 7:243 | 8:672 | 9:945 | 10:746 | 11:263 | 12:45 | 13:4 | 14:0 | 15:0
102 => 1-2-3-4-5-6-7-8-9-10-11-12-14-19-21 | 5:3 | 6:42 | 7:265 | 8:705 | 9:931 | 10:739 | 11:248 | 12:38 | 13:2 | 14:1 | 15:0
103 => 1-2-3-4-5-6-7-8-9-10-11-12-14-19-22 | 5:3 | 6:41 | 7:251 | 8:710 | 9:981 | 10:695 | 11:232 | 12:57 | 13:4 | 14:0 | 15:0
104 => 1-2-3-4-5-6-7-8-9-10-11-12-14-19-23 | 5:2 | 6:43 | 7:278 | 8:713 | 9:948 | 10:664 | 11:277 | 12:45 | 13:4 | 14:0 | 15:0
105 => 1-2-3-4-5-6-7-8-9-10-11-12-14-19-24 | 5:2 | 6:43 | 7:257 | 8:671 | 9:1009 | 10:683 | 11:261 | 12:42 | 13:6 | 14:0 | 15:0
106 => 1-2-3-4-5-6-7-8-9-10-11-12-14-19-25 | 5:3 | 6:46 | 7:244 | 8:705 | 9:960 | 10:692 | 11:272 | 12:50 | 13:2 | 14:0 | 15:0
107 => 1-2-3-4-5-6-7-8-9-10-11-12-14-20-21 | 5:6 | 6:48 | 7:240 | 8:682 | 9:941 | 10:736 | 11:280 | 12:40 | 13:1 | 14:0 | 15:0
108 => 1-2-3-4-5-6-7-8-9-10-11-12-14-20-22 | 5:5 | 6:44 | 7:246 | 8:666 | 9:991 | 10:683 | 11:292 | 12:45 | 13:2 | 14:0 | 15:0
109 => 1-2-3-4-5-6-7-8-9-10-11-12-14-20-23 | 5:1 | 6:53 | 7:269 | 8:675 | 9:922 | 10:725 | 11:277 | 12:47 | 13:5 | 14:0 | 15:0
110 => 1-2-3-4-5-6-7-8-9-10-11-12-14-20-24 | 5:2 | 6:48 | 7:240 | 8:663 | 9:969 | 10:736 | 11:262 | 12:47 | 13:7 | 14:0 | 15:0
111 => 1-2-3-4-5-6-7-8-9-10-11-12-14-20-25 | 5:3 | 6:45 | 7:257 | 8:644 | 9:962 | 10:722 | 11:290 | 12:49 | 13:2 | 14:0 | 15:0
112 => 1-2-3-4-5-6-7-8-9-10-11-12-14-21-22 | 5:5 | 6:35 | 7:253 | 8:746 | 9:919 | 10:715 | 11:251 | 12:45 | 13:5 | 14:0 | 15:0
113 => 1-2-3-4-5-6-7-8-9-10-11-12-14-21-23 | 5:2 | 6:44 | 7:279 | 8:705 | 9:929 | 10:713 | 11:258 | 12:43 | 13:1 | 14:0 | 15:0
114 => 1-2-3-4-5-6-7-8-9-10-11-12-14-21-24 | 5:2 | 6:42 | 7:254 | 8:690 | 9:990 | 10:682 | 11:266 | 12:45 | 13:3 | 14:0 | 15:0
115 => 1-2-3-4-5-6-7-8-9-10-11-12-14-21-25 | 5:2 | 6:46 | 7:240 | 8:721 | 9:934 | 10:711 | 11:278 | 12:41 | 13:1 | 14:0 | 15:0
116 => 1-2-3-4-5-6-7-8-9-10-11-12-14-22-23 | 5:3 | 6:41 | 7:279 | 8:710 | 9:945 | 10:678 | 11:262 | 12:54 | 13:2 | 14:0 | 15:0
117 => 1-2-3-4-5-6-7-8-9-10-11-12-14-22-24 | 5:3 | 6:35 | 7:258 | 8:736 | 9:911 | 10:710 | 11:268 | 12:50 | 13:3 | 14:0 | 15:0
118 => 1-2-3-4-5-6-7-8-9-10-11-12-14-22-25 | 5:2 | 6:44 | 7:241 | 8:726 | 9:940 | 10:700 | 11:262 | 12:55 | 13:4 | 14:0 | 15:0
119 => 1-2-3-4-5-6-7-8-9-10-11-12-14-23-24 | 5:1 | 6:44 | 7:271 | 8:716 | 9:924 | 10:699 | 11:266 | 12:46 | 13:7 | 14:0 | 15:0
120 => 1-2-3-4-5-6-7-8-9-10-11-12-14-23-25 | 5:1 | 6:48 | 7:272 | 8:697 | 9:930 | 10:704 | 11:263 | 12:56 | 13:3 | 14:0 | 15:0
121 => 1-2-3-4-5-6-7-8-9-10-11-12-14-24-25 | 5:2 | 6:39 | 7:267 | 8:670 | 9:960 | 10:706 | 11:278 | 12:50 | 13:2 | 14:0 | 15:0
