301 => 1-2-3-4-5-6-7-8-9-10-11-13-14-16-21 | 5:1 | 6:48 | 7:271 | 8:720 | 9:911 | 10:721 | 11:263 | 12:38 | 13:1 | 14:0 | 15:0
302 => 1-2-3-4-5-6-7-8-9-10-11-13-14-16-22 | 5:2 | 6:49 | 7:276 | 8:697 | 9:931 | 10:709 | 11:272 | 12:36 | 13:2 | 14:0 | 15:0
303 => 1-2-3-4-5-6-7-8-9-10-11-13-14-16-23 | 5:3 | 6:39 | 7:311 | 8:692 | 9:927 | 10:682 | 11:272 | 12:46 | 13:2 | 14:0 | 15:0
304 => 1-2-3-4-5-6-7-8-9-10-11-13-14-16-24 | 5:2 | 6:41 | 7:266 | 8:709 | 9:943 | 10:710 | 11:249 | 12:53 | 13:1 | 14:0 | 15:0
305 => 1-2-3-4-5-6-7-8-9-10-11-13-14-16-25 | 5:0 | 6:50 | 7:274 | 8:665 | 9:960 | 10:713 | 11:271 | 12:39 | 13:2 | 14:0 | 15:0
306 => 1-2-3-4-5-6-7-8-9-10-11-13-14-17-18 | 5:2 | 6:45 | 7:260 | 8:693 | 9:974 | 10:682 | 11:264 | 12:50 | 13:4 | 14:0 | 15:0
307 => 1-2-3-4-5-6-7-8-9-10-11-13-14-17-19 | 5:3 | 6:44 | 7:282 | 8:640 | 9:1006 | 10:695 | 11:255 | 12:43 | 13:6 | 14:0 | 15:0
308 => 1-2-3-4-5-6-7-8-9-10-11-13-14-17-20 | 5:4 | 6:52 | 7:241 | 8:672 | 9:953 | 10:724 | 11:275 | 12:49 | 13:4 | 14:0 | 15:0
309 => 1-2-3-4-5-6-7-8-9-10-11-13-14-17-21 | 5:2 | 6:55 | 7:252 | 8:678 | 9:986 | 10:702 | 11:241 | 12:55 | 13:3 | 14:0 | 15:0
310 => 1-2-3-4-5-6-7-8-9-10-11-13-14-17-22 | 5:4 | 6:48 | 7:260 | 8:677 | 9:988 | 10:674 | 11:274 | 12:45 | 13:4 | 14:0 | 15:0
311 => 1-2-3-4-5-6-7-8-9-10-11-13-14-17-23 | 5:2 | 6:50 | 7:279 | 8:698 | 9:932 | 10:694 | 11:260 | 12:56 | 13:3 | 14:0 | 15:0
312 => 1-2-3-4-5-6-7-8-9-10-11-13-14-17-24 | 5:2 | 6:44 | 7:251 | 8:714 | 9:928 | 10:719 | 11:265 | 12:47 | 13:4 | 14:0 | 15:0
313 => 1-2-3-4-5-6-7-8-9-10-11-13-14-17-25 | 5:1 | 6:47 | 7:260 | 8:669 | 9:975 | 10:704 | 11:259 | 12:56 | 13:3 | 14:0 | 15:0
314 => 1-2-3-4-5-6-7-8-9-10-11-13-14-18-19 | 5:2 | 6:49 | 7:249 | 8:681 | 9:975 | 10:718 | 11:252 | 12:46 | 13:2 | 14:0 | 15:0
315 => 1-2-3-4-5-6-7-8-9-10-11-13-14-18-20 | 5:6 | 6:41 | 7:246 | 8:678 | 9:940 | 10:732 | 11:279 | 12:46 | 13:6 | 14:0 | 15:0
316 => 1-2-3-4-5-6-7-8-9-10-11-13-14-18-21 | 5:3 | 6:47 | 7:243 | 8:702 | 9:962 | 10:713 | 11:255 | 12:48 | 13:1 | 14:0 | 15:0
317 => 1-2-3-4-5-6-7-8-9-10-11-13-14-18-22 | 5:3 | 6:43 | 7:276 | 8:650 | 9:991 | 10:695 | 11:262 | 12:52 | 13:2 | 14:0 | 15:0
318 => 1-2-3-4-5-6-7-8-9-10-11-13-14-18-23 | 5:3 | 6:50 | 7:251 | 8:707 | 9:964 | 10:682 | 11:263 | 12:49 | 13:5 | 14:0 | 15:0
319 => 1-2-3-4-5-6-7-8-9-10-11-13-14-18-24 | 5:4 | 6:37 | 7:240 | 8:715 | 9:957 | 10:703 | 11:264 | 12:51 | 13:3 | 14:0 | 15:0
320 => 1-2-3-4-5-6-7-8-9-10-11-13-14-18-25 | 5:2 | 6:42 | 7:251 | 8:668 | 9:1002 | 10:675 | 11:284 | 12:47 | 13:3 | 14:0 | 15:0
321 => 1-2-3-4-5-6-7-8-9-10-11-13-14-19-20 | 5:5 | 6:51 | 7:255 | 8:623 | 9:978 | 10:748 | 11:263 | 12:47 | 13:4 | 14:0 | 15:0
322 => 1-2-3-4-5-6-7-8-9-10-11-13-14-19-21 | 5:3 | 6:50 | 7:261 | 8:654 | 9:991 | 10:719 | 11:253 | 12:39 | 13:4 | 14:0 | 15:0
323 => 1-2-3-4-5-6-7-8-9-10-11-13-14-19-22 | 5:3 | 6:49 | 7:257 | 8:663 | 9:989 | 10:714 | 11:246 | 12:52 | 13:1 | 14:0 | 15:0
324 => 1-2-3-4-5-6-7-8-9-10-11-13-14-19-23 | 5:2 | 6:58 | 7:249 | 8:702 | 9:956 | 10:698 | 11:251 | 12:56 | 13:2 | 14:0 | 15:0
325 => 1-2-3-4-5-6-7-8-9-10-11-13-14-19-24 | 5:5 | 6:42 | 7:236 | 8:701 | 9:964 | 10:722 | 11:255 | 12:45 | 13:4 | 14:0 | 15:0
326 => 1-2-3-4-5-6-7-8-9-10-11-13-14-19-25 | 5:5 | 6:45 | 7:242 | 8:671 | 9:989 | 10:706 | 11:263 | 12:52 | 13:1 | 14:0 | 15:0
327 => 1-2-3-4-5-6-7-8-9-10-11-13-14-20-21 | 5:9 | 6:42 | 7:245 | 8:661 | 9:968 | 10:712 | 11:292 | 12:42 | 13:3 | 14:0 | 15:0
328 => 1-2-3-4-5-6-7-8-9-10-11-13-14-20-22 | 5:4 | 6:57 | 7:222 | 8:685 | 9:944 | 10:737 | 11:267 | 12:56 | 13:2 | 14:0 | 15:0
329 => 1-2-3-4-5-6-7-8-9-10-11-13-14-20-23 | 5:4 | 6:53 | 7:248 | 8:696 | 9:902 | 10:748 | 11:265 | 12:49 | 13:8 | 14:1 | 15:0
330 => 1-2-3-4-5-6-7-8-9-10-11-13-14-20-24 | 5:4 | 6:51 | 7:223 | 8:664 | 9:980 | 10:724 | 11:270 | 12:52 | 13:6 | 14:0 | 15:0
331 => 1-2-3-4-5-6-7-8-9-10-11-13-14-20-25 | 5:5 | 6:46 | 7:243 | 8:634 | 9:977 | 10:740 | 11:273 | 12:50 | 13:5 | 14:1 | 15:0
332 => 1-2-3-4-5-6-7-8-9-10-11-13-14-21-22 | 5:2 | 6:53 | 7:247 | 8:701 | 9:949 | 10:705 | 11:271 | 12:43 | 13:3 | 14:0 | 15:0
333 => 1-2-3-4-5-6-7-8-9-10-11-13-14-21-23 | 5:4 | 6:48 | 7:270 | 8:674 | 9:971 | 10:700 | 11:261 | 12:42 | 13:4 | 14:0 | 15:0
334 => 1-2-3-4-5-6-7-8-9-10-11-13-14-21-24 | 5:4 | 6:39 | 7:247 | 8:702 | 9:962 | 10:705 | 11:263 | 12:50 | 13:2 | 14:0 | 15:0
335 => 1-2-3-4-5-6-7-8-9-10-11-13-14-21-25 | 5:1 | 6:55 | 7:235 | 8:666 | 9:996 | 10:709 | 11:265 | 12:44 | 13:3 | 14:0 | 15:0
336 => 1-2-3-4-5-6-7-8-9-10-11-13-14-22-23 | 5:4 | 6:52 | 7:262 | 8:673 | 9:1008 | 10:642 | 11:274 | 12:57 | 13:2 | 14:0 | 15:0
337 => 1-2-3-4-5-6-7-8-9-10-11-13-14-22-24 | 5:5 | 6:40 | 7:251 | 8:703 | 9:945 | 10:703 | 11:270 | 12:56 | 13:1 | 14:0 | 15:0
338 => 1-2-3-4-5-6-7-8-9-10-11-13-14-22-25 | 5:3 | 6:51 | 7:235 | 8:685 | 9:973 | 10:705 | 11:268 | 12:49 | 13:5 | 14:0 | 15:0
339 => 1-2-3-4-5-6-7-8-9-10-11-13-14-23-24 | 5:5 | 6:38 | 7:279 | 8:662 | 9:987 | 10:690 | 11:247 | 12:60 | 13:6 | 14:0 | 15:0
340 => 1-2-3-4-5-6-7-8-9-10-11-13-14-23-25 | 5:3 | 6:48 | 7:254 | 8:690 | 9:964 | 10:689 | 11:268 | 12:52 | 13:5 | 14:1 | 15:0
341 => 1-2-3-4-5-6-7-8-9-10-11-13-14-24-25 | 5:2 | 6:45 | 7:240 | 8:686 | 9:950 | 10:727 | 11:270 | 12:52 | 13:2 | 14:0 | 15:0
